UID,title,url,cfp_url
W1,Workshop on Efficient Reasoning,https://wdlctc.github.io/efficient-reasoning-2026/#introduction,https://wdlctc.github.io/efficient-reasoning-2026/#call
W2,Workshop on Agent Behavior,https://www.aiagentbehavior.com,https://www.aiagentbehavior.com/#submissions
W3,"The 2nd Workshop on Lifelong Agent: Learning, Aligning, Evolving",https://lifelongagent.github.io/,https://lifelongagent.github.io/#submissions
W4,Non-Autoregressive Language Models for Fast and Flexible Text Generation,https://pengzhangzhi.github.io/NonAR-LM/,https://pengzhangzhi.github.io/NonAR-LM/cfp
W5,Actionable Interpretability,https://actionable-interpretability.github.io/,https://actionable-interpretability.github.io/cfp/
W6,Workshop on Scientific Understanding of Foundation Models,https://science-ai-2026.github.io,https://science-ai-2026.github.io/#cfp
W7,"Generative AI for the World: The First Workshop on Globalizing Tasks, Evaluations, and Systems",https://sites.google.com/view/genai4world/,https://sites.google.com/view/genai4world/call-for-papers
W8,Second Tokenization Workshop,https://tokenization-workshop.github.io/,https://openreview.net/group?id=colmweb.org/COLM/2026/Workshop/TokShop
W9,AdvML-Frontiers × CoTMA: From Model Security to Compositional Threats in Multi-Agent AI Systems,https://advml-frontier.github.io/,https://advml-frontier.github.io/
W10,LLM/VLM Deployment Opportunities and Risks in Healthcare,https://daih2026.github.io/,https://openreview.net/group?id=colmweb.org/COLM/2026/Workshop/DAIH#tab-recent-activity
W11,Social Sim'26: Fidelity in Applications,https://sites.google.com/view/social-sims-with-llms,https://sites.google.com/view/social-sims-with-llms/call-for-papers
W12,"Workshop on Context Beyond the Window: Persistent Knowledge in Language Models",https://context-beyond-window.github.io/,https://context-beyond-window.github.io/#cfp
W13,AI Measurement Science: Toward Rigorous AI Evaluation,https://aimslab.stanford.edu/workshop,https://aimslab.stanford.edu/workshop
W14,2nd Workshop on Human-Centered Privacy and Security for Language Models,https://haips.com,https://haips.com/#cfp
W15,Learning from Situated and Embodied Interaction,https://learning-situated-interaction.github.io/,https://learning-situated-interaction.github.io/#call-for-papers
W16,Methods and Opportunities at Small Scale (MOSS),https://sites.google.com/view/moss-colm-2026/,https://sites.google.com/view/moss-colm-2026/call-for-papers?authuser=0
W17,Workshop on Responsibly Enabling Data for Foundation Models,https://re-data-colm2026.github.io/,https://re-data-colm2026.github.io/#
W18,LM4Sci 2.0: The Second Workshop on Language Models for Scientific Discovery,https://lm4sci.github.io/,https://lm4sci.github.io/docs/2026/call-for-papers
